Date(UTC),UnixTimeStamp,Value
2017-11-26,1511654400,542484
2017-11-27,1511740800,608695
2017-11-28,1511827200,638989
2017-11-29,1511913600,663579
2017-11-30,1512000000,655457
2017-12-01,1512086400,622720
2017-12-02,1512172800,627785
2017-12-03,1512259200,693808
2017-12-04,1512345600,701834
2017-12-05,1512432000,693090
2017-12-06,1512518400,791746
2017-12-07,1512604800,659068
2017-12-08,1512691200,766411
2017-12-09,1512777600,707223
2017-12-10,1512864000,716575
2017-12-11,1512950400,828899
2017-12-12,1513036800,872340
2017-12-13,1513123200,909631
2017-12-14,1513209600,942559
2017-12-15,1513296000,904346
2017-12-16,1513382400,899857
2017-12-17,1513468800,876574
2017-12-18,1513555200,984021
2017-12-19,1513641600,1092234
2017-12-20,1513728000,986104
2017-12-21,1513814400,1072665
2017-12-22,1513900800,1103523
2017-12-23,1513987200,918881
2017-12-24,1514073600,758234
2017-12-25,1514160000,752361
2017-12-26,1514246400,813510
2017-12-27,1514332800,912752
2017-12-28,1514419200,949503
2017-12-29,1514505600,1090191
2017-12-30,1514592000,1136659
2017-12-31,1514678400,946981
2018-01-01,1514764800,908945
2018-01-02,1514851200,1153936
2018-01-03,1514937600,1238030
2018-01-04,1515024000,1349890
2018-01-05,1515110400,1271577
2018-01-06,1515196800,1226417
2018-01-07,1515283200,1152722
2018-01-08,1515369600,1215473
2018-01-09,1515456000,1256240
2018-01-10,1515542400,1177685
2018-01-11,1515628800,1173965
2018-01-12,1515715200,1118757
2018-01-13,1515801600,1179321
2018-01-14,1515888000,1081593
2018-01-15,1515974400,1206420
2018-01-16,1516060800,1277936
2018-01-17,1516147200,1277083
2018-01-18,1516233600,1205184
2018-01-19,1516320000,1043257
2018-01-20,1516406400,984489
2018-01-21,1516492800,1006530
2018-01-22,1516579200,972911
2018-01-23,1516665600,928494
2018-01-24,1516752000,913668
2018-01-25,1516838400,788515
2018-01-26,1516924800,953429
2018-01-27,1517011200,831992
2018-01-28,1517097600,889104
2018-01-29,1517184000,936845
2018-01-30,1517270400,906578
2018-01-31,1517356800,877284
2018-02-01,1517443200,1008759
2018-02-02,1517529600,981133
2018-02-03,1517616000,814486
2018-02-04,1517702400,800876
2018-02-05,1517788800,875761
2018-02-06,1517875200,888219
2018-02-07,1517961600,818625
2018-02-08,1518048000,681344
